nohup: ignoring input
group_aggregation_bridge was used
gt deep supervision was used
Training on 1 GPUs.
Epoch [52/150], Train Loss: 1.7518,Train Dice Score: 0.7030, Val Loss: 1.7324,Val Dice Score: 0.7038
Epoch [53/150], Train Loss: 1.7267,Train Dice Score: 0.7071, Val Loss: 1.7984,Val Dice Score: 0.6796
Epoch [54/150], Train Loss: 1.6603,Train Dice Score: 0.7170, Val Loss: 1.7801,Val Dice Score: 0.6834
Epoch [55/150], Train Loss: 1.6167,Train Dice Score: 0.7269, Val Loss: 1.7986,Val Dice Score: 0.6948
Epoch [56/150], Train Loss: 1.5831,Train Dice Score: 0.7325, Val Loss: 1.9625,Val Dice Score: 0.6679
Epoch [57/150], Train Loss: 1.6833,Train Dice Score: 0.7146, Val Loss: 1.7747,Val Dice Score: 0.6918
Epoch [58/150], Train Loss: 1.6085,Train Dice Score: 0.7253, Val Loss: 1.9665,Val Dice Score: 0.6720
Epoch [59/150], Train Loss: 1.5890,Train Dice Score: 0.7314, Val Loss: 1.6667,Val Dice Score: 0.7061
Epoch [60/150], Train Loss: 1.5670,Train Dice Score: 0.7365, Val Loss: 1.8621,Val Dice Score: 0.6876
Epoch [61/150], Train Loss: 1.4342,Train Dice Score: 0.7601, Val Loss: 1.8463,Val Dice Score: 0.6982
Epoch [62/150], Train Loss: 1.5215,Train Dice Score: 0.7404, Val Loss: 1.6279,Val Dice Score: 0.7200
Epoch [63/150], Train Loss: 1.5307,Train Dice Score: 0.7414, Val Loss: 1.7077,Val Dice Score: 0.6984
Epoch [64/150], Train Loss: 1.4530,Train Dice Score: 0.7556, Val Loss: 1.6604,Val Dice Score: 0.7129
Epoch [65/150], Train Loss: 1.4748,Train Dice Score: 0.7494, Val Loss: 1.4864,Val Dice Score: 0.7397
Epoch [66/150], Train Loss: 1.4545,Train Dice Score: 0.7548, Val Loss: 1.6844,Val Dice Score: 0.7142
Epoch [67/150], Train Loss: 1.4455,Train Dice Score: 0.7583, Val Loss: 1.6929,Val Dice Score: 0.7153
Epoch [68/150], Train Loss: 1.4259,Train Dice Score: 0.7600, Val Loss: 1.6652,Val Dice Score: 0.7193
Epoch [69/150], Train Loss: 1.3360,Train Dice Score: 0.7775, Val Loss: 1.7042,Val Dice Score: 0.7155
Epoch [70/150], Train Loss: 1.3498,Train Dice Score: 0.7749, Val Loss: 1.5358,Val Dice Score: 0.7415
Epoch [71/150], Train Loss: 1.3497,Train Dice Score: 0.7748, Val Loss: 1.4616,Val Dice Score: 0.7500
Epoch [72/150], Train Loss: 1.3339,Train Dice Score: 0.7756, Val Loss: 1.4481,Val Dice Score: 0.7557
Epoch [73/150], Train Loss: 1.2254,Train Dice Score: 0.7943, Val Loss: 1.7844,Val Dice Score: 0.7181
Epoch [74/150], Train Loss: 1.2773,Train Dice Score: 0.7877, Val Loss: 1.7540,Val Dice Score: 0.7194
Epoch [75/150], Train Loss: 1.2204,Train Dice Score: 0.7947, Val Loss: 1.6820,Val Dice Score: 0.7239
Epoch [76/150], Train Loss: 1.2369,Train Dice Score: 0.7904, Val Loss: 1.6078,Val Dice Score: 0.7273
Epoch [77/150], Train Loss: 1.2578,Train Dice Score: 0.7884, Val Loss: 1.4869,Val Dice Score: 0.7520
Epoch [78/150], Train Loss: 1.2392,Train Dice Score: 0.7911, Val Loss: 1.5171,Val Dice Score: 0.7519
Epoch [79/150], Train Loss: 1.2563,Train Dice Score: 0.7884, Val Loss: 1.4776,Val Dice Score: 0.7584
Epoch [80/150], Train Loss: 1.1847,Train Dice Score: 0.8024, Val Loss: 1.3999,Val Dice Score: 0.7681
Epoch [81/150], Train Loss: 1.1852,Train Dice Score: 0.8023, Val Loss: 1.4697,Val Dice Score: 0.7569
Epoch [82/150], Train Loss: 1.1557,Train Dice Score: 0.8067, Val Loss: 1.4040,Val Dice Score: 0.7619
Epoch [83/150], Train Loss: 1.1473,Train Dice Score: 0.8072, Val Loss: 1.3056,Val Dice Score: 0.7798
Epoch [84/150], Train Loss: 1.0968,Train Dice Score: 0.8172, Val Loss: 1.3136,Val Dice Score: 0.7795
Epoch [85/150], Train Loss: 1.1261,Train Dice Score: 0.8121, Val Loss: 1.3854,Val Dice Score: 0.7682
Epoch [86/150], Train Loss: 1.0645,Train Dice Score: 0.8197, Val Loss: 1.2592,Val Dice Score: 0.7870
Epoch [87/150], Train Loss: 1.0637,Train Dice Score: 0.8204, Val Loss: 1.2238,Val Dice Score: 0.7916
Epoch [88/150], Train Loss: 1.0400,Train Dice Score: 0.8252, Val Loss: 1.2458,Val Dice Score: 0.7875
Epoch [89/150], Train Loss: 1.0682,Train Dice Score: 0.8209, Val Loss: 1.2282,Val Dice Score: 0.7919
Epoch [90/150], Train Loss: 1.0053,Train Dice Score: 0.8309, Val Loss: 1.2981,Val Dice Score: 0.7823
Epoch [91/150], Train Loss: 1.0450,Train Dice Score: 0.8240, Val Loss: 1.2510,Val Dice Score: 0.7876
Epoch [92/150], Train Loss: 1.0239,Train Dice Score: 0.8282, Val Loss: 1.1971,Val Dice Score: 0.7973
Epoch [93/150], Train Loss: 0.9981,Train Dice Score: 0.8313, Val Loss: 1.2153,Val Dice Score: 0.7949
Epoch [94/150], Train Loss: 1.0072,Train Dice Score: 0.8298, Val Loss: 1.2286,Val Dice Score: 0.7932
Epoch [95/150], Train Loss: 1.0028,Train Dice Score: 0.8317, Val Loss: 1.2481,Val Dice Score: 0.7921
Epoch [96/150], Train Loss: 1.0220,Train Dice Score: 0.8291, Val Loss: 1.1686,Val Dice Score: 0.8031
Epoch [97/150], Train Loss: 0.9599,Train Dice Score: 0.8379, Val Loss: 1.2061,Val Dice Score: 0.7962
Epoch [98/150], Train Loss: 0.9639,Train Dice Score: 0.8369, Val Loss: 1.2171,Val Dice Score: 0.7945
Epoch [99/150], Train Loss: 0.9653,Train Dice Score: 0.8378, Val Loss: 1.2153,Val Dice Score: 0.7973
Epoch [100/150], Train Loss: 0.9498,Train Dice Score: 0.8396, Val Loss: 1.1999,Val Dice Score: 0.7979
Epoch [101/150], Train Loss: 1.4464,Train Dice Score: 0.7590, Val Loss: 1.6641,Val Dice Score: 0.7235
Epoch [102/150], Train Loss: 1.3467,Train Dice Score: 0.7721, Val Loss: 1.5536,Val Dice Score: 0.7377
